Report Date,Cumulative or New Header,Report Date,Total or New Positive Cases
11/12/2020 12:00:00 AM,New,11/12/2020 12:00:00 AM,204
11/13/2020 12:00:00 AM,New,11/13/2020 12:00:00 AM,86
11/14/2020 12:00:00 AM,New,11/14/2020 12:00:00 AM,286
11/15/2020 12:00:00 AM,New,11/15/2020 12:00:00 AM,149
11/16/2020 12:00:00 AM,New,11/16/2020 12:00:00 AM,244
11/17/2020 12:00:00 AM,New,11/17/2020 12:00:00 AM,170
11/18/2020 12:00:00 AM,New,11/18/2020 12:00:00 AM,172
11/19/2020 12:00:00 AM,New,11/19/2020 12:00:00 AM,262
11/20/2020 12:00:00 AM,New,11/20/2020 12:00:00 AM,209
11/21/2020 12:00:00 AM,New,11/21/2020 12:00:00 AM,241
11/22/2020 12:00:00 AM,New,11/22/2020 12:00:00 AM,211
11/23/2020 12:00:00 AM,New,11/23/2020 12:00:00 AM,191
11/24/2020 12:00:00 AM,New,11/24/2020 12:00:00 AM,182
11/25/2020 12:00:00 AM,New,11/25/2020 12:00:00 AM,138
11/26/2020 12:00:00 AM,New,11/26/2020 12:00:00 AM,219
11/27/2020 12:00:00 AM,New,11/27/2020 12:00:00 AM,161
11/28/2020 12:00:00 AM,New,11/28/2020 12:00:00 AM,107
11/29/2020 12:00:00 AM,New,11/29/2020 12:00:00 AM,128
11/30/2020 12:00:00 AM,New,11/30/2020 12:00:00 AM,279
12/1/2020 12:00:00 AM,New,12/1/2020 12:00:00 AM,167
12/2/2020 12:00:00 AM,New,12/2/2020 12:00:00 AM,263
12/3/2020 12:00:00 AM,New,12/3/2020 12:00:00 AM,212
12/4/2020 12:00:00 AM,New,12/4/2020 12:00:00 AM,287
12/5/2020 12:00:00 AM,New,12/5/2020 12:00:00 AM,275
12/6/2020 12:00:00 AM,New,12/6/2020 12:00:00 AM,158
12/7/2020 12:00:00 AM,New,12/7/2020 12:00:00 AM,221
12/8/2020 12:00:00 AM,New,12/8/2020 12:00:00 AM,192
12/9/2020 12:00:00 AM,New,12/9/2020 12:00:00 AM,182
12/10/2020 12:00:00 AM,New,12/10/2020 12:00:00 AM,197
12/11/2020 12:00:00 AM,New,12/11/2020 12:00:00 AM,228
12/12/2020 12:00:00 AM,New,12/12/2020 12:00:00 AM,284
12/13/2020 12:00:00 AM,New,12/13/2020 12:00:00 AM,106
12/14/2020 12:00:00 AM,New,12/14/2020 12:00:00 AM,267
12/15/2020 12:00:00 AM,New,12/15/2020 12:00:00 AM,181
